N,L,K_c,Target_Kc,Alpha,Min_Rho,Sign_Flips,Oscillation
4,2,1.1107207303071145,6.283185307179586,0.17677669462301723,-0.8143475040899276,0,0
9,3,1.1107207303071145,4.1887902047863905,0.2651650419345259,-0.2714491680299759,0,0
16,4,0.5553603675497238,3.141592653589793,0.17677669538574076,-0.40717375204496375,2,1
25,5,0.5553603675497238,2.5132741228718345,0.22097086923217596,-0.48860850245395654,2,1
36,6,0.37024024024081587,2.0943951023931953,0.17677669309757013,-0.6136199085624309,3,1
64,8,0.27768018617102846,1.5707963267948966,0.17677669691118775,-0.6107606280674456,4,1
100,10,0.2221441460614228,1.2566370614359172,0.17677669462301715,-0.651478003271942,6,1
256,16,0.1388400906893476,0.7853981633974483,0.17677669386029365,-0.7125540660786864,10,1
1024,32,0.06942004774084043,0.39269908169872414,0.17677669996208187,-0.7634507850843069,21,1
